Time,CH1,CH2,CH3,CH4,Accelerometer
mSecs,mVolts,mVolts,mVolts,mVolts,m/(sec^2)
79256.83594,-1.561962155,-0.96929065,-2.176318229,4.481301445,-2.790184049
79260.74219,-1.565255709,-0.967439528,-2.177977027,4.47536343,-2.788957055
79264.64844,-1.56530379,-0.969819542,-2.184275649,4.477334755,-2.788957055
79268.55469,-1.565688439,-0.97150238,-2.182136041,4.479979215,-2.790184049
79272.46094,-1.558548398,-0.968809839,-2.178145311,4.476565458,-2.790184049
79276.36719,-1.557346371,-0.964025771,-2.178818446,4.476733741,-2.791411043
79280.27344,-1.556769398,-0.965900934,-2.180501284,4.479306079,-2.790184049
79284.17969,-1.55818779,-0.966453866,-2.183169784,4.480508107,-2.788957055
79288.08594,-1.560135074,-0.963160312,-2.184467973,4.475844241,-2.790184049
79291.01563,-1.560014871,-0.962847785,-2.18208796,4.477262633,-2.790184049
79294.92188,-1.561337101,-0.962463136,-2.1812225,4.478128093,-2.791411043
79298.82813,-1.564486412,-0.968617515,-2.181751392,4.479714769,-2.790184049
79302.73438,-1.56085629,-0.966886596,-2.18521323,4.479859012,-2.790184049
79306.64063,-1.560086993,-0.970132069,-2.18432373,4.480844674,-2.790184049
79310.54688,-1.558043546,-0.965900934,-2.178626122,4.482695796,-2.788957055
79314.45313,-1.55378837,-0.96573265,-2.181270581,4.483825702,-2.790184049
79318.35938,-1.560639925,-0.96486719,-2.179491581,4.481036999,-2.791411043
79322.26563,-1.557033844,-0.964073852,-2.176582675,4.479546485,-2.790184049
79326.17188,-1.55419706,-0.963713244,-2.177977027,4.479859012,-2.790184049
79330.07813,-1.554437465,-0.963593042,-2.181703311,4.477142431,-2.791411043
79333.98438,-1.55686556,-0.962727582,-2.179130973,4.480435985,-2.788957055
79337.89063,-1.557923344,-0.962078487,-2.182905338,4.483176607,-2.791411043
79341.79688,-1.556817479,-0.962751623,-2.178241473,4.482647715,-2.790184049
79345.70313,-1.556144344,-0.96306415,-2.177520257,4.483513174,-2.790184049
79349.60938,-1.55907729,-0.963160312,-2.176414392,4.481181242,-2.790184049
79353.51563,-1.556769398,-0.964170015,-2.174707513,4.486109553,-2.791411043
79357.42188,-1.555735654,-0.963785366,-2.173481445,4.48329681,-2.791411043
79361.32813,-1.557899303,-0.960323528,-2.173048716,4.484787323,-2.792638037
79365.23438,-1.556144344,-0.963448798,-2.17413054,4.48509985,-2.791411043
79369.14063,-1.553860492,-0.961044744,-2.176558635,4.484498837,-2.792638037
79373.04688,-1.55640879,-0.960804339,-2.176967324,4.485388337,-2.793865031
79376.95313,-1.553235438,-0.962126568,-2.170404256,4.483561256,-2.793865031
79380.85938,-1.555952019,-0.962967987,-2.170716783,4.484739242,-2.791411043
79384.76563,-1.556120303,-0.96308819,-2.170524459,4.484787323,-2.792638037
79388.67188,-1.556913641,-0.962415055,-2.17148608,4.482383269,-2.792638037
79392.57813,-1.555735654,-0.963448798,-2.178169351,4.481830336,-2.792638037
79396.48438,-1.55729829,-0.96527588,-2.173048716,4.485123891,-2.793865031
79400.39063,-1.558524357,-0.963232433,-2.173842053,4.491134027,-2.792638037
79404.29688,-1.559293655,-0.964338298,-2.175284486,4.488705932,-2.792638037
79408.20313,-1.564967223,-0.965612447,-2.174154581,4.490196445,-2.791411043
79412.10938,-1.560808209,-0.964650825,-2.177904905,4.490196445,-2.790184049
79416.01563,-1.562346804,-0.965203758,-2.178650162,4.487912594,-2.791411043
79419.92188,-1.560736087,-0.963376677,-2.177832784,4.489258864,-2.792638037
79423.82813,-1.564871061,-0.965876893,-2.180044514,4.489186743,-2.792638037
79427.73438,-1.563933479,-0.963569001,-2.174923878,4.487263499,-2.790184049
79431.64063,-1.565568236,-0.961405352,-2.174226702,4.484378634,-2.791411043
79435.54688,-1.568188656,-0.961862122,-2.177159648,4.486253796,-2.790184049
79439.45313,-1.564221966,-0.961934244,-2.176198027,4.487239459,-2.792638037
79443.35938,-1.569390683,-0.962559298,-2.174996,4.489811797,-2.790184049
79447.26563,-1.567347237,-0.963280514,-2.170836986,4.487119256,-2.791411043
79451.17188,-1.56616925,-0.966213461,-2.172135175,4.487455824,-2.791411043
79455.07813,-1.564342169,-0.962270812,-2.168312729,4.488345324,-2.790184049
79458.98438,-1.567683804,-0.962366974,-2.172111134,4.489186743,-2.791411043
79462.89063,-1.567587642,-0.962919906,-2.173192959,4.488032797,-2.791411043
79466.79688,-1.563476709,-0.963689204,-2.173361243,4.487455824,-2.790184049
79470.70313,-1.56527975,-0.962703541,-2.168553134,4.485748945,-2.790184049
79474.60938,-1.568284818,-0.963136271,-2.17235154,4.486950972,-2.790184049
79478.51563,-1.568981993,-0.970108029,-2.169418594,4.487696229,-2.790184049
79482.42188,-1.567395318,-0.964362339,-2.174202662,4.491206148,-2.790184049
79486.32813,-1.569006034,-0.964650825,-2.170764864,4.491831202,-2.791411043
79490.23438,-1.568693507,-0.962679501,-2.171077391,4.491158067,-2.790184049
79494.14063,-1.565544196,-0.961140906,-2.169755161,4.488345324,-2.791411043
79498.04688,-1.564726817,-0.964915271,-2.172760229,4.491855243,-2.791411043
79501.95313,-1.566818345,-0.962511217,-2.171870729,4.493393838,-2.790184049
79505.85938,-1.56439025,-0.961381312,-2.169033945,4.487600067,-2.790184049
79509.76563,-1.562298723,-0.961357271,-2.166677972,4.487984715,-2.791411043
79513.67188,-1.561841952,-0.961934244,-2.169851323,4.48952331,-2.791411043
79517.57813,-1.561697709,-0.962030406,-2.167663634,4.487503905,-2.790184049
79521.48438,-1.560447601,-0.964025771,-2.166677972,4.486975013,-2.790184049
79525.39063,-1.558235871,-0.963160312,-2.166100999,4.48774431,-2.788957055
79529.29688,-1.562755493,-0.963376677,-2.170716783,4.487143296,-2.787730061
79533.20313,-1.556312627,-0.962847785,-2.175044081,4.491807162,-2.787730061
79537.10938,-1.555326965,-0.965203758,-2.169731121,4.486638445,-2.787730061
79541.01563,-1.558884965,-0.963208393,-2.16925031,4.485700864,-2.787730061
79544.92188,-1.558332033,-0.963689204,-2.174611351,4.48197458,-2.787730061
79548.82813,-1.563452669,-0.96575669,-2.174827716,4.486542283,-2.787730061
79552.73438,-1.563548831,-0.970059948,-2.176510554,4.487143296,-2.786503067
79556.64063,-1.560928412,-0.96707892,-2.175092162,4.489258864,-2.786503067
79560.54688,-1.563837317,-0.962246771,-2.173192959,4.494115054,-2.786503067
79563.47656,-1.567972291,-0.964554663,-2.169634958,4.493465959,-2.787730061
79567.38281,-1.567659764,-0.96707892,-2.170644661,4.490965743,-2.787730061
79571.28906,-1.566049047,-0.96618942,-2.17237558,4.493778486,-2.788957055
79575.19531,-1.564606615,-0.965540326,-2.174923878,4.494091013,-2.788957055
79579.10156,-1.563620952,-0.964242136,-2.171678405,4.494499703,-2.788957055
79583.00781,-1.561673668,-0.964939312,-2.173024675,4.491807162,-2.790184049
79586.91406,-1.55640879,-0.966501947,-2.171197594,4.490436851,-2.791411043
